week,month,service,available_beds,patients_request,patients_admitted,patients_refused,patient_satisfaction,staff_morale,event,refusal_rate
17,5,general_medicine,33,76,33,43,75,63,none,0.5657894736842105
17,5,ICU,14,17,14,3,87,83,none,0.17647058823529413
18,5,emergency,18,100,18,82,81,80,donation,0.82
18,5,surgery,43,36,36,0,81,98,none,0.0
18,5,general_medicine,31,25,25,0,96,62,strike,0.0
18,5,ICU,12,9,9,0,63,55,none,0.0
19,5,emergency,16,70,16,54,99,45,strike,0.7714285714285715
19,5,surgery,42,44,42,2,78,66,none,0.045454545454545456
19,5,general_medicine,43,60,43,17,85,86,none,0.2833333333333333
19,5,ICU,14,17,14,3,68,61,none,0.17647058823529413
20,5,emergency,21,45,21,24,93,81,none,0.5333333333333333
20,5,surgery,31,39,31,8,99,94,none,0.20512820512820512
20,5,general_medicine,40,70,40,30,64,71,none,0.42857142857142855
20,5,ICU,10,14,10,4,85,65,none,0.2857142857142857
21,6,emergency,18,95,18,77,88,63,none,0.8105263157894737
21,6,surgery,30,44,30,14,64,67,donation,0.3181818181818182
21,6,general_medicine,45,70,45,25,95,82,none,0.35714285714285715
21,6,ICU,12,9,9,0,69,54,none,0.0
22,6,emergency,16,129,16,113,69,68,none,0.875968992248062
22,6,surgery,18,21,18,3,63,65,none,0.14285714285714285
22,6,general_medicine,46,36,36,0,87,88,donation,0.0
22,6,ICU,9,6,6,0,92,82,none,0.0
23,6,emergency,22,54,22,32,62,50,none,0.5925925925925926
23,6,surgery,26,43,26,17,72,61,none,0.3953488372093023
23,6,general_medicine,27,81,27,54,94,77,donation,0.6666666666666666
23,6,ICU,17,12,12,0,85,83,none,0.0
24,6,emergency,18,105,18,87,70,78,none,0.8285714285714286
24,6,surgery,39,21,21,0,95,39,strike,0.0
24,6,general_medicine,47,66,47,19,94,97,none,0.2878787878787879
24,6,ICU,9,9,9,0,91,73,none,0.0
25,7,emergency,15,48,15,33,72,72,none,0.6875
25,7,surgery,22,39,22,17,76,98,none,0.4358974358974359
25,7,general_medicine,36,51,36,15,81,62,none,0.29411764705882354
25,7,ICU,8,6,6,0,71,90,none,0.0
26,7,emergency,18,96,18,78,87,63,none,0.8125
26,7,surgery,31,30,30,0,75,54,none,0.0
26,7,general_medicine,43,72,43,29,80,85,none,0.4027777777777778
26,7,ICU,14,8,8,0,98,63,none,0.0
27,7,emergency,15,67,15,52,82,78,none,0.7761194029850746
27,7,surgery,29,24,24,0,68,59,none,0.0
27,7,general_medicine,36,61,36,25,66,95,none,0.4098360655737705
27,7,ICU,15,10,10,0,86,51,none,0.0
28,7,emergency,15,69,15,54,78,66,donation,0.782608695652174
28,7,surgery,31,28,28,0,66,74,none,0.0
28,7,general_medicine,26,36,26,10,90,68,none,0.2777777777777778
28,7,ICU,12,8,8,0,86,59,none,0.0
29,8,emergency,16,92,16,76,72,99,none,0.8260869565217391
29,8,surgery,36,31,31,0,87,57,none,0.0
29,8,general_medicine,30,62,30,32,60,52,none,0.5161290322580645
29,8,ICU,14,15,14,1,84,82,none,0.06666666666666667
30,8,emergency,16,85,16,69,91,94,none,0.8117647058823529
30,8,surgery,32,15,15,0,70,66,strike,0.0
30,8,general_medicine,38,47,38,9,77,96,none,0.19148936170212766
30,8,ICU,8,7,7,0,62,65,none,0.0
31,8,emergency,20,48,20,28,69,81,none,0.5833333333333334
31,8,surgery,20,24,20,4,83,86,donation,0.16666666666666666
31,8,general_medicine,45,60,45,15,85,57,none,0.25
31,8,ICU,8,12,8,4,87,86,none,0.3333333333333333
32,8,emergency,20,89,20,69,76,58,none,0.7752808988764045
32,8,surgery,31,25,25,0,87,97,none,0.0
32,8,general_medicine,34,59,34,25,65,67,none,0.423728813559322
32,8,ICU,11,15,11,4,84,51,none,0.26666666666666666
33,9,emergency,28,54,28,26,92,56,donation,0.48148148148148145
33,9,surgery,36,30,30,0,80,75,none,0.0
33,9,general_medicine,51,98,51,47,86,98,none,0.47959183673469385
33,9,ICU,11,13,11,2,94,50,none,0.15384615384615385
34,9,emergency,21,31,21,10,64,60,strike,0.3225806451612903
34,9,surgery,22,42,22,20,96,86,none,0.47619047619047616
34,9,general_medicine,48,56,48,8,80,63,none,0.14285714285714285
34,9,ICU,10,7,7,0,72,53,none,0.0
35,9,emergency,15,81,15,66,93,77,none,0.8148148148148148
35,9,surgery,26,45,26,19,93,52,none,0.4222222222222222
35,9,general_medicine,41,40,40,0,64,79,none,0.0
35,9,ICU,18,5,5,0,82,64,none,0.0
36,9,emergency,28,115,28,87,70,88,none,0.7565217391304347
36,9,surgery,47,53,47,6,97,99,none,0.11320754716981132
36,9,general_medicine,59,54,54,0,86,83,none,0.0
36,9,ICU,15,5,5,0,83,64,none,0.0
37,10,emergency,23,110,23,87,76,54,none,0.7909090909090909
37,10,surgery,31,39,31,8,69,66,none,0.20512820512820512
37,10,general_medicine,58,48,48,0,93,55,none,0.0
37,10,ICU,13,20,13,7,82,65,none,0.35
38,10,emergency,22,71,22,49,67,53,none,0.6901408450704225
38,10,surgery,47,48,47,1,62,81,none,0.020833333333333332
38,10,general_medicine,63,78,63,15,78,70,none,0.19230769230769232
38,10,ICU,20,18,18,0,81,70,none,0.0
39,10,emergency,20,67,20,47,85,95,none,0.7014925373134329
39,10,surgery,36,49,36,13,86,58,none,0.2653061224489796
39,10,general_medicine,48,59,48,11,89,72,strike,0.1864406779661017
39,10,ICU,11,15,11,4,95,50,none,0.26666666666666666
40,10,emergency,18,57,18,39,81,43,strike,0.6842105263157895
40,10,surgery,46,36,36,0,83,51,none,0.0
40,10,general_medicine,47,107,47,60,66,52,none,0.5607476635514018
40,10,ICU,12,15,12,3,97,84,none,0.2
41,11,emergency,27,92,27,65,69,88,none,0.7065217391304348
41,11,surgery,31,49,31,18,85,93,none,0.3673469387755102
41,11,general_medicine,50,70,50,20,84,53,none,0.2857142857142857
41,11,ICU,21,20,20,0,77,96,none,0.0
42,11,emergency,24,99,24,75,67,89,none,0.7575757575757576
42,11,surgery,45,67,45,22,65,75,none,0.3283582089552239
42,11,general_medicine,67,114,67,47,65,86,none,0.41228070175438597
42,11,ICU,16,12,12,0,80,55,none,0.0
43,11,emergency,21,171,21,150,70,79,none,0.8771929824561403
43,11,surgery,50,33,33,0,62,89,donation,0.0
43,11,general_medicine,42,49,42,7,79,77,none,0.14285714285714285
43,11,ICU,18,12,12,0,89,87,none,0.0
44,11,emergency,27,138,27,111,74,60,none,0.8043478260869565
44,11,surgery,45,28,28,0,65,75,none,0.0
44,11,general_medicine,57,70,57,13,92,69,none,0.18571428571428572
44,11,ICU,12,16,12,4,73,87,none,0.25
45,12,emergency,32,193,32,161,72,92,none,0.8341968911917098
45,12,surgery,32,37,32,5,64,72,none,0.13513513513513514
45,12,general_medicine,40,67,40,27,99,51,none,0.40298507462686567
45,12,ICU,18,42,18,24,70,54,flu,0.5714285714285714
46,12,emergency,36,187,36,151,64,93,none,0.8074866310160428
46,12,surgery,52,39,39,0,68,83,none,0.0
46,12,general_medicine,41,29,29,0,81,58,strike,0.0
46,12,ICU,23,28,23,5,89,75,flu,0.17857142857142858
47,12,emergency,22,91,22,69,63,54,strike,0.7582417582417582
47,12,surgery,57,48,48,0,99,57,none,0.0
47,12,general_medicine,55,92,55,37,97,82,none,0.40217391304347827
47,12,ICU,13,16,13,3,76,82,none,0.1875
48,12,emergency,20,165,20,145,99,89,none,0.8787878787878788
48,12,surgery,49,32,32,0,65,52,none,0.0
48,12,general_medicine,48,105,48,57,74,96,none,0.5428571428571428
48,12,ICU,16,23,16,7,98,76,none,0.30434782608695654
49,12,emergency,26,137,26,111,92,86,none,0.8102189781021898
49,12,surgery,26,29,26,3,81,51,none,0.10344827586206896
49,12,general_medicine,72,63,63,0,92,87,none,0.0
49,12,ICU,16,22,16,6,83,64,none,0.2727272727272727
50,12,emergency,24,101,24,77,63,61,none,0.7623762376237624
50,12,surgery,59,65,59,6,95,85,none,0.09230769230769231
50,12,general_medicine,72,57,57,0,79,60,none,0.0
50,12,ICU,22,13,13,0,65,57,none,0.0
51,12,emergency,31,123,31,92,71,75,none,0.7479674796747967
51,12,surgery,63,48,48,0,84,82,none,0.0
51,12,general_medicine,74,285,74,211,95,89,flu,0.7403508771929824
51,12,ICU,18,15,15,0,87,80,none,0.0
52,12,emergency,26,130,26,104,88,63,none,0.8
52,12,surgery,53,39,39,0,82,50,none,0.0
52,12,general_medicine,65,225,65,160,82,40,flu,0.7111111111111111
52,12,ICU,22,24,22,2,80,96,none,0.08333333333333333
